t,vwl,vblb,vbl
9.605E-9,747.7E-3,1.000,1.003
9.605E-9,800.0E-3,1.000,1.003
9.605E-9,800.0E-3,1.000,1.003
9.605E-9,800.0E-3,1.000,1.003
9.605E-9,800.0E-3,1.000,1.003
9.605E-9,800.0E-3,1.000,1.003
9.606E-9,800.0E-3,1.000,1.003
9.606E-9,800.0E-3,999.9E-3,1.003
9.607E-9,800.0E-3,999.8E-3,1.003
9.608E-9,800.0E-3,999.6E-3,1.003
9.609E-9,800.0E-3,999.4E-3,1.003
9.610E-9,800.0E-3,999.1E-3,1.003
9.611E-9,800.0E-3,998.9E-3,1.003
9.613E-9,800.0E-3,998.5E-3,1.003
9.614E-9,800.0E-3,998.1E-3,1.003
9.617E-9,800.0E-3,997.7E-3,1.003
9.620E-9,800.0E-3,997.0E-3,1.003
9.624E-9,800.0E-3,996.1E-3,1.003
9.631E-9,800.0E-3,994.5E-3,1.003
9.643E-9,800.0E-3,992.1E-3,1.003
9.656E-9,800.0E-3,989.3E-3,1.003
9.671E-9,800.0E-3,986.0E-3,1.003
9.691E-9,800.0E-3,981.7E-3,1.003
9.719E-9,800.0E-3,975.9E-3,1.003
9.761E-9,800.0E-3,966.9E-3,1.003
9.800E-9,800.0E-3,958.6E-3,1.003
9.800E-9,800.0E-3,958.5E-3,1.003
9.801E-9,800.0E-3,958.4E-3,1.003
9.801E-9,800.0E-3,958.3E-3,1.003
9.802E-9,800.0E-3,958.2E-3,1.003
9.802E-9,800.0E-3,958.2E-3,1.003
9.803E-9,800.0E-3,958.1E-3,1.003
9.803E-9,800.0E-3,958.0E-3,1.003
9.803E-9,800.0E-3,957.9E-3,1.003
9.804E-9,800.0E-3,957.8E-3,1.003
9.804E-9,800.0E-3,957.7E-3,1.003
9.805E-9,800.0E-3,957.6E-3,1.003
9.805E-9,800.0E-3,957.5E-3,1.003
9.806E-9,800.0E-3,957.4E-3,1.003
9.808E-9,800.0E-3,957.0E-3,1.003
9.810E-9,800.0E-3,956.5E-3,1.003
9.815E-9,800.0E-3,955.4E-3,1.003
9.825E-9,800.0E-3,953.3E-3,1.003
9.846E-9,800.0E-3,949.0E-3,1.003
9.886E-9,800.0E-3,940.4E-3,1.003
9.943E-9,800.0E-3,928.4E-3,1.003
10.00E-9,800.0E-3,916.5E-3,1.003
10.00E-9,800.0E-3,916.4E-3,1.003
10.00E-9,800.0E-3,916.3E-3,1.003
10.00E-9,800.0E-3,916.2E-3,1.003
10.00E-9,800.0E-3,916.2E-3,1.003
10.00E-9,800.0E-3,916.1E-3,1.003
10.00E-9,800.0E-3,916.0E-3,1.003
10.00E-9,800.0E-3,915.9E-3,1.003
10.00E-9,800.0E-3,915.8E-3,1.003
10.00E-9,800.0E-3,915.7E-3,1.003
10.00E-9,800.0E-3,915.6E-3,1.003
10.00E-9,800.0E-3,915.5E-3,1.003
10.01E-9,800.0E-3,915.5E-3,1.003
10.01E-9,800.0E-3,915.3E-3,1.003
10.01E-9,800.0E-3,914.9E-3,1.003
10.01E-9,800.0E-3,914.4E-3,1.003
10.02E-9,800.0E-3,913.3E-3,1.003
10.03E-9,800.0E-3,911.2E-3,1.003
10.05E-9,800.0E-3,907.0E-3,1.003
10.09E-9,800.0E-3,898.5E-3,1.003
10.16E-9,800.0E-3,882.4E-3,1.003
10.25E-9,800.0E-3,865.3E-3,1.003
10.32E-9,800.0E-3,849.6E-3,1.003
10.40E-9,800.0E-3,834.0E-3,1.003
10.40E-9,800.0E-3,833.9E-3,1.003
10.40E-9,800.0E-3,833.8E-3,1.003
10.40E-9,800.0E-3,833.7E-3,1.003
10.40E-9,800.0E-3,833.6E-3,1.003
10.40E-9,800.0E-3,833.6E-3,1.003
10.40E-9,800.0E-3,833.5E-3,1.003
10.40E-9,800.0E-3,833.4E-3,1.003
